NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3552.01; Contra Costa County; California,06013355201,355201,1458.0,0.05692729766803841,0.06874016885413868
Census Tract 3552.02; Contra Costa County; California,06013355202,355202,449.0,0.0334075723830735,0.05466767651089645
Census Tract 3553.02; Contra Costa County; California,06013355302,355302,71.0,0.08450704225352113,0.20235918326753
Census Tract 3553.06; Contra Costa County; California,06013355306,355306,530.0,0.022641509433962263,0.012833625718999755
Census Tract 3553.07; Contra Costa County; California,06013355307,355307,535.0,0.0,0.024299065420560748
Census Tract 3553.08; Contra Costa County; California,06013355308,355308,225.0,0.0,0.057777777777777775
Census Tract 3553.09; Contra Costa County; California,06013355309,355309,878.0,0.015945330296127564,0.02494738188370364
Census Tract 3553.10; Contra Costa County; California,06013355310,355310,798.0,0.010025062656641603,0.013185232809979344
Census Tract 3560.01; Contra Costa County; California,06013356001,356001,1168.0,0.05565068493150685,0.05550104721100477
Census Tract 3560.02; Contra Costa County; California,06013356002,356002,976.0,0.05122950819672131,0.058763900228738335
Census Tract 3570; Contra Costa County; California,06013357000,357000,545.0,0.03486238532110092,0.055079528572771146
Census Tract 3580; Contra Costa County; California,06013358000,358000,1518.0,0.18247694334650857,0.09770861584291365
Census Tract 3591.02; Contra Costa County; California,06013359102,359102,1102.0,0.11070780399274047,0.07701617608838837
Census Tract 3591.03; Contra Costa County; California,06013359103,359103,1130.0,0.08849557522123894,0.09154585475908258
Census Tract 3591.04; Contra Costa County; California,06013359104,359104,290.0,0.010344827586206896,0.019523144642783558
Census Tract 3591.05; Contra Costa County; California,06013359105,359105,924.0,0.04329004329004329,0.05759262252294916
Census Tract 3592.02; Contra Costa County; California,06013359202,359202,2412.0,0.017412935323383085,0.028321912484656053
Census Tract 3592.03; Contra Costa County; California,06013359203,359203,1104.0,0.0,0.017210144927536232
Census Tract 3592.04; Contra Costa County; California,06013359204,359204,809.0,0.07416563658838071,0.07445391897739982
Census Tract 3601.01; Contra Costa County; California,06013360101,360101,1016.0,0.17125984251968504,0.166305764869234
Census Tract 3601.02; Contra Costa County; California,06013360102,360102,1045.0,0.13301435406698564,0.13012288718465242
Census Tract 3602; Contra Costa County; California,06013360200,360200,1665.0,0.06546546546546547,0.04704710358694842
Census Tract 3610; Contra Costa County; California,06013361000,361000,1598.0,0.08760951188986232,0.10467980314320212
Census Tract 3620; Contra Costa County; California,06013362000,362000,555.0,0.014414414414414415,0.01916183327636618
Census Tract 3630; Contra Costa County; California,06013363000,363000,1719.0,0.059336823734729496,0.07164965677150356
Census Tract 3640.02; Contra Costa County; California,06013364002,364002,2039.0,0.05100539480137322,0.0620090594553814
Census Tract 3650.02; Contra Costa County; California,06013365002,365002,3347.0,0.11233940842545563,0.06323954545617867
Census Tract 3650.03; Contra Costa County; California,06013365003,365003,1300.0,0.10230769230769231,0.11203715771974546
Census Tract 3660.01; Contra Costa County; California,06013366001,366001,2512.0,0.09872611464968153,0.06387293562992252
Census Tract 3660.02; Contra Costa County; California,06013366002,366002,4567.0,0.09984672651631268,0.055770187211815314
Census Tract 3671; Contra Costa County; California,06013367100,367100,1811.0,0.06294864715626726,0.07105414338958435
Census Tract 3672; Contra Costa County; California,06013367200,367200,3143.0,0.13172128539611835,0.08937105752819996
Census Tract 3680.01; Contra Costa County; California,06013368001,368001,3513.0,0.08568175348704811,0.06524663411807574
Census Tract 3680.02; Contra Costa County; California,06013368002,368002,3116.0,0.06097560975609756,0.033152963886559056
