NAME,GEOID,GEO_ID,tract,total,pct_nh_other,pct_nh_other_moe,pct_nh_other_moe_ratio
Census Tract 3700; Contra Costa County; California,06013370000,1400000US06013370000,370000,2960.0,,0.03594968490495832,0.6909809566147832
Census Tract 3710; Contra Costa County; California,06013371000,1400000US06013371000,371000,5776.0,,0.05514041892091872,0.6621435752333192
Census Tract 3720; Contra Costa County; California,06013372000,1400000US06013372000,372000,7610.0,,0.02252433045569332,0.6100005507751821
Census Tract 3730; Contra Costa County; California,06013373000,1400000US06013373000,373000,4386.0,,0.0614222692791251,0.8418689783070084
Census Tract 3740; Contra Costa County; California,06013374000,1400000US06013374000,374000,4687.0,,0.02239118877160562,0.7237758742932106
Census Tract 3750; Contra Costa County; California,06013375000,1400000US06013375000,375000,5271.0,,0.015119410261631184,1.1384915927008281
Census Tract 3760; Contra Costa County; California,06013376000,1400000US06013376000,376000,6712.0,,0.024538144410908954,0.48872411064101157
Census Tract 3770; Contra Costa County; California,06013377000,1400000US06013377000,377000,7826.0,,0.025467599076897277,0.8554052805828244
Census Tract 3780; Contra Costa County; California,06013378000,1400000US06013378000,378000,3887.0,,0.03788890230483181,0.5316756796349503
Census Tract 3790; Contra Costa County; California,06013379000,1400000US06013379000,379000,8383.0,,0.035559151483138964,0.5400224037738296
Census Tract 3800.01; Contra Costa County; California,06013380001,1400000US06013380001,380001,2896.0,,0.04588036142317926,0.6067101674955577
